timestamp,player_name,total_games,wins,losses,win_ratio,avg_guesses,overall_most_used_word,overall_least_used_word,most_used_word_row1,most_used_word_row2,most_used_word_row3,most_used_word_row4,most_used_word_row5,most_used_word_row6,win_dist_row1,win_dist_row2,win_dist_row3,win_dist_row4,win_dist_row5,win_dist_row6,avg_row1_yellow,avg_row2_yellow,avg_row3_yellow,avg_row4_yellow,avg_row5_yellow,avg_row6_yellow,avg_row1_green,avg_row2_green,avg_row3_green,avg_row4_green,avg_row5_green,avg_row6_green
20240913_053258,RandomGuesser,2309,1627,682,0.7046340407102641,4.925629993853718,LIGAN,PLOWS,DOWFS,MORNA,YAWEY,ALOUD,AUNTY,WHINY,0,17,110,397,556,547,0.8588133391078389,1.2321351234300564,1.2159685863874345,0.9903758020164987,0.8061624649859944,0.5834011391375101,0.3395409268081421,0.8986574274577739,1.6967713787085514,2.6154903758020165,3.253781512605042,3.76973148901546
20240913_054636,RandomGuesser,2309,1596,713,0.6912083152880034,4.981203007518797,DRIER,AGUTI,FUNGO,WACKE,MATEY,BANAL,FLOAT,MATCH,0,14,79,366,601,536,0.8401905586834127,1.1723689909051538,1.191285403050109,0.930956678700361,0.7243243243243244,0.5988791032826261,0.357297531398874,0.9588566478995236,1.7119825708061003,2.6498194945848375,3.343783783783784,3.7173738991192953
20240913_064251,RandomGuesser,2309,1653,656,0.7158943265482893,4.9201451905626135,AWARE,WROTE,DRACK,CREPY,CARNY,BOAST,CLOCK,CABLE,1,19,111,379,613,530,0.8462537895192724,1.2058058925476602,1.2101354303189165,0.9710743801652892,0.7326292384658143,0.602866779089376,0.3581637072325682,0.9246100519930676,1.7016164263870686,2.620293847566575,3.3429683157309618,3.7563237774030354
20240913_070735,RandomGuesser,2309,1635,674,0.7080987440450411,4.940061162079511,WINDY,BINGO,AALII,BADGE,SMELL,LORAL,RUSTY,BRAWL,0,12,115,378,584,546,0.8505846686877436,1.1935902988306626,1.1989551589029168,0.9546287809349221,0.7111973392461197,0.5344262295081967,0.3642269380684279,0.9462970983109571,1.7470613844144536,2.6333638863428046,3.3464523281596454,3.807377049180328
20240913_073625,RandomGuesser,2309,1432,877,0.6201818969250757,4.955307262569832,RETRO,TWITE,PUTTS,PUNCH,DEBYE,TRIER,TAUNT,CRAVE,1,9,109,306,516,491,0.830229536595929,1.199740034662045,1.1926924749891257,0.993607305936073,0.7616772823779193,0.6535087719298246,0.34387180597661327,0.8886481802426344,1.6750761200521966,2.4876712328767123,3.1772823779193207,3.5387426900584797
20240913_074612,RandomGuesser,2309,1381,928,0.5980944131658726,4.920347574221578,TRAIN,MILTS,LOCKS,AXMEN,LOTTA,ELATE,GRAME,CANAL,1,8,99,335,487,451,0.8540493720225206,1.216204506065858,1.1973913043478261,0.9572921399363925,0.7331189710610932,0.6069615663524293,0.33087916847119964,0.9163778162911612,1.7121739130434783,2.5738300772376195,3.189710610932476,3.542422044960116
20240913_083726,RandomGuesser,2309,449,1860,0.19445647466435687,4.99554565701559,ALAAP,FLEES,GLAIR,HINNY,CHANG,BEZEL,MUFFY,LAVVY,0,9,34,83,147,176,0.8523170203551321,1.2104807275877003,1.3278260869565217,1.2758164165931156,1.2189647274393036,1.174852652259332,0.3408401905586834,0.8705067128627111,1.3395652173913044,1.6663724624889673,1.908382959230417,2.0584479371316307
20240913_083840,RandomGuesser,2309,437,1872,0.18925941966219142,5.02745995423341,QUICK,GUSTS,WADGE,CRAWL,PLUMP,CURCH,DOGGO,WEEKE,0,6,37,80,130,184,0.866608921611087,1.2182763100909484,1.2739904472427268,1.2639011473962931,1.2150045745654163,1.1750972762645915,0.3395409268081421,0.8622780424426159,1.3517151541467651,1.6738746690203001,1.8865507776761208,2.092412451361868
20240913_084524,RandomGuesser,2309,457,1852,0.19792117799913383,5.024070021881838,PIPIT,WILES,FLAIR,WACKO,GENUA,PEEVE,TANKY,PRORE,0,8,36,90,126,197,0.8527501082719792,1.2187093980077957,1.2916123424598,1.2525386313465783,1.2165517241379311,1.1698389458272327,0.3447379818103075,0.8847986141186661,1.3715775749674055,1.701103752759382,1.9126436781609195,2.104929233772572
20240913_085501,RandomGuesser,2309,226,2083,0.0978778692074491,5.048672566371682,POMME,LANTS,KLANG,HIKOI,PEACE,LEAVE,BREER,XVIII,0,6,17,43,54,106,0.8349935036812473,1.0861844954525768,1.0495006513243594,1.0301837270341208,1.0294248773963441,1.0333485609867519,0.3733217843222174,0.8453876136855781,1.2483716891011725,1.5122484689413824,1.7164511814534107,1.8899040657834627
20240913_085601,RandomGuesser,2309,236,2073,0.10220874837592031,5.055084745762712,KNACK,RAMUS,WAINS,SUNNA,TROMP,GILLY,XVIII,FEEZE,0,5,13,49,66,103,0.8349935036812473,1.083585967951494,1.0572916666666667,1.0323003055434308,1.0486173059768065,1.0441176470588236,0.357297531398874,0.826764833261152,1.21875,1.5425578350065474,1.7091882247992864,1.8984375
20240913_085656,RandomGuesser,2309,206,2103,0.08921611087050671,5.101941747572815,THETE,MORTS,DAUBE,ADEEM,ROZIT,HOTTE,HEAVE,FUZZY,0,6,14,28,63,95,0.8709398007795582,1.1061065396275445,1.0877116804168476,1.0751419833988642,1.062361786819991,1.0441310282074614,0.3339107838891295,0.8033780857514076,1.2084237950499348,1.4801223241590213,1.6996904024767803,1.8712465878070974
